Node,Label,Community,degree,betweenness,closeness,eigenvector,core,Mito
n91,HOG0002868,3,0.03634085213032581,0.0002181336245506252,0.34332425068119893,0.032861209461992835,62,False
n92,HOG0002875,0,0.023391812865497075,0.0029256129032729245,0.3349188584219362,0.0008783005757639804,36,False
n93,HOG0002894,1,0.047619047619047616,0.00115302173580813,0.3462039045553145,0.00011459555925139805,45,False
n94,HOG0002895,4,0.0020885547201336674,2.2912690244838256e-05,0.303537466717383,0.0002874629606537526,5,False
n95,HOG0002903,3,0.07059314954051796,0.004650385982722223,0.37623762376237624,0.04090924058780413,65,False
n96,HOG0002936,3,0.06474519632414369,0.0005766627885790044,0.37458926615553123,0.0655301705583097,71,False
n97,HOG0002954,0,0.015037593984962405,0.0003146664900939931,0.3230769230769231,0.0021816123497858226,31,False
n98,HOG0002957,1,0.012531328320802004,0.0002728702801829582,0.31966884764321,0.00021412428855626132,21,False
n99,HOG0002958,5,0.003341687552213868,0.00016757573689460485,0.3012457531143828,0.000310302288457637,7,False
n100,HOG0002969,2,0.007101086048454469,0.0003630489725670227,0.3156229400131839,0.00019751211963075086,13,False
n101,HOG0003002,1,0.017126148705096073,4.418794340361462e-05,0.32281553398058255,4.983939897635132e-05,36,False
n102,HOG0003008,2,0.0012531328320802004,2.896072089792249e-07,0.2822780332507959,0.00020432581981072733,3,False
n103,HOG0003061,1,0.000835421888053467,1.7637943932115865e-05,0.2574747257474726,6.641562908369935e-07,2,False
n104,HOG0003065,0,0.004594820384294068,0.0007417272658314615,0.31433823529411764,0.00012888652737924296,8,False
n105,HOG0003074,2,0.0029239766081871343,0.0004015941802753737,0.29374233128834354,8.243605762335239e-05,5,False
n106,HOG0003091,5,0.0012531328320802004,0.0,0.27394438722966014,8.744882413782906e-05,3,False
n107,HOG0003099,1,0.014202172096908938,0.0013070471138480937,0.30970245795601553,2.045001912045491e-05,16,False
n108,HOG0003111,3,0.027986633249791143,0.00030966669113654974,0.3399119693312509,0.022237370049326865,45,False
n109,HOG0003113,3,0.011278195488721804,0.00017329299148829413,0.322554567502021,0.0044543634516169325,19,False
n110,HOG0003117,3,0.08312447786131996,0.005036444242902895,0.3896484375,0.07290494461836,71,False
n111,HOG0003129,0,0.016290726817042606,0.0002473113678476432,0.32061068702290074,0.0003166856921093868,33,False
n112,HOG0003162,4,0.006683375104427736,0.0012750113766502968,0.33689839572192515,0.0011729266140064597,12,False
n113,HOG0003168,3,0.02756892230576441,0.0006993958879731542,0.35656836461126007,0.015636257234339562,42,False
n114,HOG0003209,5,0.002506265664160401,0.0003814388220807848,0.27996725529177874,3.247038292717611e-05,5,False
n115,HOG0003210,2,0.026733500417710943,0.0005671157066879323,0.34283259344121436,0.0035367677769390054,40,False
n116,HOG0003214,3,0.04928989139515455,0.0006576636064445077,0.3669527896995708,0.04144628804778449,67,False
n117,HOG0003217,2,0.0037593984962406013,0.0001782805466184239,0.3001504513540622,0.00013231542828499073,9,False
n118,HOG0003218,3,0.0037593984962406013,3.4200554539077336e-06,0.29872722735213375,0.0019858258174513016,9,False
n119,HOG0003270,5,0.01211361737677527,0.0007400799188185611,0.32151490733279614,0.0005023968076056218,20,False
n120,HOG0003324,3,0.05889724310776942,0.000991248162664404,0.37156604066428683,0.049699567497927755,68,False
n121,HOG0003346,3,0.047619047619047616,0.0014888406554673756,0.36141304347826086,0.0368699207346397,65,False
n122,HOG0003374,5,0.04928989139515455,0.004480838448568916,0.3706456107756619,0.017302215488622784,47,False
n123,HOG0003376,0,0.007101086048454469,7.561234991441109e-05,0.3137203511990565,0.0006463073014485705,16,False
n124,HOG0003377,1,0.015037593984962405,0.0001360345943615463,0.3001504513540622,2.653481758079258e-05,30,False
n125,HOG0003387,0,0.006683375104427736,7.193045736355936e-05,0.31885988279168886,0.0009646738919367261,14,False
n126,HOG0003393,1,0.011278195488721804,0.00024082706291376872,0.30910264686894773,2.021464837031007e-05,17,False
n127,HOG0003404,3,0.0037593984962406013,5.131426556629923e-05,0.31450341565948503,0.0011928841806794369,9,False
n128,HOG0003418,3,0.0004177109440267335,0.0,0.23665480427046262,1.6023570507101995e-05,1,False
n129,HOG0003425,0,0.00835421888053467,0.00029263333651352445,0.3185204896221394,0.0002896542331637245,15,False
n130,HOG0003432,5,0.05513784461152882,0.001695379998763069,0.38127090301003347,0.026727904769533246,53,False
n131,HOG0003444,0,0.013366750208855471,4.5238789410099304e-05,0.3165829145728643,0.0001726052926744448,29,False
n132,HOG0003490,1,0.0004177109440267335,0.0,0.22247003066629495,6.603625725578223e-08,1,False
n133,HOG0003491,0,0.03007518796992481,0.0015238601648359046,0.34781345343600173,0.0002726605790290617,40,False
n134,HOG0003495,0,0.023809523809523808,0.00040274671104178757,0.3412687099073414,0.0007414660122568164,41,False
n135,HOG0003502,1,0.02756892230576441,0.00048048091482102236,0.33818335923152987,6.585683191857591e-05,41,False
n136,HOG0003512,4,0.014202172096908938,0.001412061366577098,0.33832673827020915,0.0014855922004391301,18,False
n137,HOG0003520,3,0.0998329156223893,0.0028818944349302054,0.38806937915383366,0.09195371824354778,71,False
n138,HOG0003523,2,0.0004177109440267335,0.0,0.2578074520783976,6.936356264678682e-05,1,False
n139,HOG0003542,5,0.000835421888053467,5.800181685666754e-06,0.26526315789473687,1.3907701772785468e-05,2,False
n140,HOG0003554,5,0.005847953216374269,0.00021398665892407583,0.294936552913638,0.00023610244567119363,11,False
n141,HOG0003555,1,0.041353383458646614,0.0008390834015759996,0.34441087613293053,0.00011496598775994775,45,False
n142,HOG0003558,3,0.07101086048454469,0.0007229911856566892,0.3674033149171271,0.06679548260292031,71,False
n143,HOG0003606,0,0.02756892230576441,0.00037756272093466154,0.336661510336099,0.004438406404179171,37,False
n144,HOG0003609,3,0.0785296574770259,0.0017592315474209948,0.3839615076182839,0.07172500182870718,71,False
n145,HOG0003629,3,0.04177109440267335,0.0004709902550880046,0.3600541434802226,0.03585978563081907,58,False
n146,HOG0003652,4,0.0012531328320802004,0.0,0.25942782834850453,1.1365903201601411e-05,3,False
n147,HOG0003660,0,0.0004177109440267335,0.0,0.24401182346345937,1.1631388281918114e-06,1,False
n148,HOG0003661,2,0.000835421888053467,0.0,0.2457905544147844,2.837845650046792e-05,2,False
n149,HOG0003662,5,0.045112781954887216,0.0005220259460173651,0.3649946638207044,0.03380540513628793,56,False
n150,HOG0003664,2,0.0004177109440267335,0.0,0.24508599508599507,5.229641964636269e-07,1,False
n151,HOG0003668,1,0.03842940685045948,0.0007821188753052079,0.3433734939759036,0.00011922607843732422,45,False
n152,HOG0003669,1,0.03634085213032581,0.0010100636160881036,0.3462039045553145,0.0001090451237774851,45,False
n153,HOG0003670,1,0.012531328320802004,0.0009627093279754788,0.3111919927206551,1.901254943013238e-05,18,False
n154,HOG0003676,3,0.13074352548036758,0.016381583324457948,0.40721211090321485,0.09659785010178783,71,False
n155,HOG0003685,2,0.034252297410192145,0.008178158918632347,0.3631123919308357,0.0027644499365697675,31,False
n156,HOG0003743,1,0.026733500417710943,0.0012351240084211054,0.3558792924037461,0.00018962979643693357,40,False
n157,HOG0003744,5,0.03842940685045948,0.001277325598221156,0.36195947989114,0.02189994841335089,47,False
n158,HOG0003749,0,0.0020885547201336674,2.528123646990964e-05,0.2898656011623683,0.0001295751967346897,5,False
n159,HOG0003755,2,0.000835421888053467,1.946622396262692e-06,0.24526175596762625,6.370970466870717e-06,2,False
n160,HOG0003763,3,0.04344193817878028,0.0005055016000333798,0.35962145110410093,0.03757789525579485,65,False
n161,HOG0003778,0,0.00835421888053467,0.0005554268298475764,0.32695984703632885,5.8658897163882485e-05,18,False
n162,HOG0003779,3,0.06349206349206349,0.00030639688774142487,0.3633879781420765,0.06656375916589272,71,False
n163,HOG0003787,0,0.013784461152882205,0.00017922413762460452,0.3146687697160883,9.675835994445204e-05,25,False
n164,HOG0003792,3,0.08521303258145363,0.001098160287154584,0.38439306358381503,0.08587216462903619,71,False
n165,HOG0003793,1,0.003341687552213868,7.737147456514136e-05,0.2966175195143105,7.143977095216144e-06,8,False
n166,HOG0003803,0,0.032999164578111945,0.0013013274826221834,0.35149023638232274,0.009016274803456141,38,False
n167,HOG0003823,0,0.001670843776106934,4.814494149076096e-06,0.27631578947368424,1.279800127152621e-05,4,False
n168,HOG0003837,1,0.0004177109440267335,0.0,0.2578074520783976,7.547554768787518e-07,1,False
n169,HOG0003839,5,0.05054302422723475,0.0008172048663787266,0.36611102615078756,0.04199925071859823,64,False
n170,HOG0003841,2,0.007936507936507936,0.00024241102494086556,0.34421279654924514,0.0015993596353994625,19,False
n171,HOG0003842,2,0.015037593984962405,0.0005768734156873838,0.32749658002735976,0.0002925038228094045,19,False
n172,HOG0003859,2,0.0004177109440267335,0.0,0.2725099601593626,0.0001696181149987844,1,False
n173,HOG0003862,0,0.011278195488721804,0.00016011606926795896,0.3260247855100095,0.0016230777920255017,23,False
n174,HOG0003864,5,0.008771929824561403,0.00029677462756208333,0.3152073732718894,0.002310457396237537,15,False
n175,HOG0003877,5,0.041353383458646614,0.0010273104741853737,0.3711052549992249,0.026216896122964302,54,False
n176,HOG0003887,5,0.047619047619047616,0.004916963214484978,0.3713355048859935,0.019281884883910333,47,False
n177,HOG0003898,1,0.012949039264828738,9.345075863538144e-05,0.31335078534031413,2.8772973589835194e-05,26,False
n178,HOG0003899,5,0.046365914786967416,0.0015141053528063316,0.35956743766896965,0.015892334974339214,47,False
n179,HOG0003904,0,0.045112781954887216,0.003189936537690991,0.35492957746478876,0.0015972143482647601,45,False
n180,HOG0003907,5,0.023809523809523808,0.0004444353039439861,0.35419440745672437,0.017884903014960676,44,False
n181,HOG0003909,3,0.06850459482038429,0.0010183758417536173,0.37843819159026243,0.06891850323996865,71,False
n182,HOG0003941,5,0.002506265664160401,0.0002823743126244781,0.3,0.00022910342562441357,5,False
n183,HOG0003958,1,0.020885547201336674,0.0006238610423176324,0.3256256800870511,4.462518154922034e-05,30,False
n184,HOG0003991,5,0.013366750208855471,6.834707002389906e-05,0.3274070021881838,0.007498977169386363,27,False
n185,HOG0003995,5,0.007518796992481203,0.0002494867514734041,0.30890322580645163,0.0013658358463635295,14,False
n186,HOG0003997,3,0.006265664160401002,3.215820493293409e-05,0.32194728348574503,0.004704269693923907,14,False
n187,HOG0004006,0,0.01211361737677527,0.0005126737492075924,0.32848518111964875,0.0002481894301054123,20,False
n188,HOG0004010,3,0.03383458646616541,0.0027292531315413543,0.3596754807692308,0.015127472247770479,42,False
n189,HOG0004011,1,0.028404344193817876,0.00034788556381602873,0.33157894736842103,7.72062260086542e-05,42,False
n190,HOG0004012,2,0.001670843776106934,5.013695028816123e-06,0.2740698340011448,7.108588826879443e-05,4,False
n191,HOG0004014,2,0.0012531328320802004,5.1581085368332445e-05,0.28378378378378377,3.3741370153768976e-06,3,False
n192,HOG0004025,1,0.021303258145363407,0.0008000788101775281,0.32553712265433776,3.7038097829971595e-05,29,False
n193,HOG0004043,0,0.025480367585630742,0.0005718270801647569,0.34892872759073024,0.011999477939066463,40,False
n194,HOG0004071,3,0.07811194653299916,0.0007066261577997869,0.3790973871733967,0.08135301803700859,71,False
n195,HOG0004073,5,0.0012531328320802004,3.052266703584741e-05,0.2639470782800441,1.3250197759841101e-05,3,False
n196,HOG0004074,3,0.003341687552213868,0.00023381445497047166,0.3018915510718789,0.0006822666222963439,7,False
n197,HOG0004109,4,0.007936507936507936,0.00036795905841631405,0.2989883851629824,0.0002552998050659912,13,False
n198,HOG0004110,4,0.014619883040935672,0.0007687481125648232,0.32386363636363635,0.00035106759895014213,18,False
n199,HOG0004121,2,0.008771929824561403,0.00036550156865918393,0.34535487593768033,0.0032687035575088494,17,False
n200,HOG0004122,1,0.021303258145363407,0.0006434472379758018,0.32862045298558684,0.0001925239208119546,28,False
n201,HOG0004152,2,0.0012531328320802004,8.066672347432734e-05,0.29731743666169896,6.345802854811774e-05,3,False
n202,HOG0004157,1,0.005012531328320802,8.914626001366108e-05,0.30071599045346065,5.0573035460879166e-05,11,False
n203,HOG0004158,1,0.042606516290726815,0.001655272851018487,0.34791454730417093,0.00012556652710912292,45,False
n204,HOG0004176,0,0.013784461152882205,0.00264367849389625,0.3540896317112853,0.0011529030596728175,23,False
n205,HOG0004179,4,0.0029239766081871343,5.580806055796679e-06,0.2820120155495347,0.00012084402992479793,7,False
n206,HOG0004184,3,0.005430242272347535,8.768030259834974e-05,0.3254486133768352,0.00249969407543416,11,False
n207,HOG0004188,4,0.005012531328320802,0.00042326207984613707,0.29658077304261643,4.328700393117675e-05,9,False
n208,HOG0004199,2,0.0037593984962406013,0.00010844590597951263,0.3106670127173631,0.00011699968032336356,9,False
n209,HOG0004238,3,0.04344193817878028,0.0007787370640325648,0.3631123919308357,0.03838221904237884,62,False
n210,HOG0004243,4,0.014619883040935672,0.0013178735414153835,0.3385659736953755,0.0006452448732650552,19,False
n211,HOG0004259,3,0.0885547201336675,0.003755170647841344,0.3919449901768173,0.07838544403609954,71,False
n212,HOG0004269,3,0.038011695906432746,0.0017062495046861286,0.3608138658628485,0.02733301010267388,52,False
n213,HOG0004276,1,0.05639097744360902,0.007789390878431878,0.3762967620245206,0.0006172316956340643,45,False
n214,HOG0004278,4,0.013784461152882205,0.0017380226686715774,0.3306173180499931,0.0010215575500659322,17,False
n215,HOG0004279,4,0.006265664160401002,0.00025453162986656717,0.3012836647369746,3.955789138584427e-05,12,False
n216,HOG0004285,1,0.008771929824561403,0.0001912211572474962,0.33226925746009717,0.00016272224886356812,20,False
n217,HOG0004299,2,0.020050125313283207,0.0015109394447567882,0.33808784070046605,0.0029076598765375586,28,False
n218,HOG0004346,5,0.004177109440267335,0.0009990163927531273,0.27161334240980256,2.9997509787443637e-05,7,False
n219,HOG0004360,1,0.031746031746031744,0.0018168791648177204,0.35614400476048796,0.00024734210641802197,40,False
n220,HOG0004374,5,0.021303258145363407,0.007277158658783121,0.36399574273985097,0.002437631299078026,24,False
n221,HOG0004415,1,0.03968253968253968,0.0007787708955165187,0.3505124450951684,0.00012434046195331996,45,False
n222,HOG0004418,4,0.004177109440267335,5.222660819699628e-05,0.28075524803565144,9.985754807002664e-06,9,False
n223,HOG0004433,1,0.005012531328320802,2.8335611040258006e-05,0.28895594447797224,5.257388382952498e-06,12,False
n224,HOG0004442,2,0.06349206349206349,0.00980399119566647,0.3806646525679758,0.02522351083460112,50,False
n225,HOG0004454,0,0.014619883040935672,0.0007679661936956119,0.33756345177664976,0.006297993014631649,28,False
n226,HOG0004462,3,0.007936507936507936,0.0001636337893957483,0.33043478260869563,0.0030178808462631244,16,False
n227,HOG0004503,4,0.008771929824561403,0.0004479827679103395,0.32056775575790036,0.0029132484106550757,17,False
n228,HOG0004509,5,0.041353383458646614,0.011697910753803364,0.3718546132339236,0.0054736799928194685,36,False
n229,HOG0004575,2,0.030492898913951544,0.003645761303929291,0.3482181818181818,0.00032088883867311833,31,False
n230,HOG0004594,1,0.029657477025898077,0.0029168438607998716,0.3587054240335631,0.00023067218116750433,42,False
n231,HOG0004613,3,0.07560568086883876,0.000973422651586989,0.375,0.071329539679656,71,False
n232,HOG0004645,5,0.05012531328320802,0.0018185481681967357,0.36267232237539765,0.02104824578377049,50,False
n233,HOG0004647,0,0.040100250626566414,0.0007025876076588818,0.3536711478800414,0.0017674347138061004,50,False
n234,HOG0004649,3,0.03592314118629908,0.000668621320055955,0.3602166716822149,0.024254987950785796,49,False
n235,HOG0004657,4,0.018796992481203006,0.0014300286228114754,0.32386363636363635,0.0003952817008357342,18,False
n236,HOG0004658,1,0.00960735171261487,0.00022850445825417704,0.30711994868505454,2.929785856471217e-05,17,False
n237,HOG0004668,1,0.015873015873015872,0.003257192464027059,0.3395744680851064,7.476566079696263e-05,22,False
n238,HOG0004685,3,0.06307435254803676,0.006069701390551615,0.3762967620245206,0.032143212755251484,56,False
n239,HOG0004699,0,0.006265664160401002,0.0004613904514075384,0.2970591884849237,0.0005416023142406214,9,False
n240,HOG0004704,1,0.0020885547201336674,1.3904990762052093e-05,0.2737564322469983,1.4166773398916525e-06,5,False
n241,HOG0004706,5,0.005012531328320802,0.00013423103099704937,0.2946098941668718,0.0002134292995910475,10,False
n242,HOG0004738,1,0.0020885547201336674,0.00011755158278808747,0.28822537924392005,5.253308712349254e-05,5,False
n243,HOG0004791,3,0.03216374269005848,0.002078607564691806,0.36168605529536185,0.021002001868868407,48,False
n244,HOG0004821,1,0.031746031746031744,0.0006117148968172889,0.34610380222639875,9.21982753350745e-05,40,False
n245,HOG0004823,1,0.003341687552213868,0.000844377844740221,0.278404465635539,3.144451665910495e-06,7,False
n246,HOG0004851,3,0.036758563074352546,0.00027281471650792327,0.3513354857646023,0.03528898581947499,64,False
n247,HOG0004860,5,0.0004177109440267335,0.0,0.2702946821722931,7.634118449350825e-05,1,False
n248,HOG0004868,5,0.030492898913951544,0.00168823349123955,0.3577405857740586,0.008749707971072303,42,False
n249,HOG0004876,0,0.013784461152882205,0.0004322928791533555,0.33727810650887574,0.0002397995246436868,27,False
n250,HOG0004900,0,0.001670843776106934,0.0001568998494133173,0.2796728971962617,1.2290845368400159e-05,3,False
n251,HOG0004924,0,0.0037593984962406013,0.0004390743051509278,0.3074749550475212,6.572887698212085e-05,8,False
n252,HOG0004928,3,0.07351712614870509,0.0014049763169713895,0.3782588086585559,0.0678434290138092,71,False
n253,HOG0004929,0,0.002506265664160401,2.8548978247216147e-07,0.29566506113375324,0.0005140571827935639,6,False
n254,HOG0004962,2,0.010442773600668337,0.00021306883242453185,0.3144621042952844,0.00040333425676760396,19,False
n255,HOG0004970,0,0.003341687552213868,8.352802382205021e-05,0.2998496993987976,0.0002448870079236638,8,False
n256,HOG0004971,3,0.0012531328320802004,1.1027292478957496e-06,0.2779842080817464,0.00022700426695984932,3,False
n257,HOG0004991,2,0.004177109440267335,2.8150150270968964e-05,0.30238726790450926,0.0001616189529858045,9,False
