HOG0019761	GO:0000209,GO:0005634,GO:0006974,GO:0061630
HOG0002494	GO:0004931,GO:0005886,GO:0016020,GO:0030054,GO:0070588
HOG0005729	GO:0000221,GO:0016471,GO:0016887,GO:0030672,GO:0046961,GO:0097401,GO:1902600
HOG0015657	GO:0005201,GO:0005577,GO:0007596,GO:0030674,GO:0034116,GO:0042730,GO:0070527,GO:0072377
HOG0018793	GO:0005869
HOG0021506	GO:0005125,GO:0005576,GO:0005615
HOG0020093	GO:0001503,GO:0005615
HOG0021833	GO:0005548,GO:0006641,GO:0008203,GO:0015485,GO:0017129,GO:0031210,GO:0034197,GO:0034364,GO:0034372,GO:0034374,GO:0034375,GO:0042632,GO:0043691,GO:0046470,GO:0055091,GO:0070328,GO:0120020
HOG0019014	GO:0005615,GO:0006144,GO:0070324
HOG0019330	GO:0017171
HOG0021237	GO:0000444,GO:0007059
HOG0021001	GO:0000122,GO:0000978,GO:0001228,GO:0005634,GO:0007420,GO:0030154,GO:0030182,GO:0045944,GO:0048593
HOG0006934	GO:0005829,GO:0032991
HOG0021684	GO:0000149,GO:0001786,GO:0005509,GO:0005544,GO:0005886,GO:0006906,GO:0017156,GO:0030276,GO:0030424,GO:0045202,GO:0048791,GO:0070382
HOG0011717	GO:0001616,GO:0004930,GO:0005886,GO:0007186,GO:0009755
HOG0020142	GO:0005747,GO:0022900
HOG0020705	GO:0005886,GO:0016020,GO:0070506
HOG0010840	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0009887
HOG0020141	GO:0003723,GO:0004386,GO:0005622
HOG0009561	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0030182
HOG0002771	GO:0016567,GO:0061630
HOG0010924	GO:0000977,GO:0000981,GO:0005634,GO:0006357,GO:0045892
HOG0004025	GO:0005200,GO:0005737,GO:0005882,GO:0045109,GO:0099160,GO:0099184
HOG0009594	GO:0001540,GO:0005794,GO:0005886,GO:0042985,GO:0070062
HOG0019399	GO:0005737,GO:0005886,GO:0006810
HOG0018684	GO:0016593,GO:1990269
HOG0018687	GO:0005886,GO:0007271,GO:0031594,GO:0033130,GO:1900075
HOG0020190	GO:0005179,GO:0005576,GO:0005615,GO:0008284,GO:0031667,GO:0046427
HOG0020783	GO:0000978,GO:0000981,GO:0003700,GO:0006351,GO:0006357,GO:0045595
HOG0018839	GO:0005829,GO:0008240
HOG0011224	GO:0005737,GO:0008113,GO:0034599,GO:0036456
HOG0010460	GO:0008484
HOG0021644	GO:0007605,GO:0042472
HOG0020319	GO:0001054,GO:0003899,GO:0005736,GO:0006351
HOG0009209	GO:0004888,GO:0005886
HOG0009547	GO:0008290,GO:0030036,GO:0030863,GO:0051015,GO:0051016
HOG0005558	GO:0003723,GO:0005654,GO:0005737,GO:0043484
HOG0021364	GO:0003954,GO:0005747,GO:0008137,GO:0009060,GO:0015990,GO:0042773,GO:0048039
HOG0010804	GO:0005634,GO:0005737,GO:0007141,GO:0007144,GO:0048255,GO:0051321
HOG0005824	GO:0000002,GO:0005739,GO:0015218,GO:1990519
HOG0002895	GO:0005524,GO:0140662
HOG0021285	GO:0042475,GO:0070175
HOG0009752	GO:0005615,GO:0005783,GO:0031175,GO:0071542
HOG0002670	GO:0001671,GO:0005789,GO:0005829,GO:0030544,GO:0032436,GO:0036503,GO:0042026,GO:0051082,GO:0061077
HOG0019093	GO:0005886,GO:0006865,GO:0015171
HOG0009551	GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0022625
HOG0018848	GO:0006891,GO:0034498,GO:0048193,GO:1990071
HOG0005899	GO:0005525,GO:0007264
HOG0019755	GO:0005524,GO:0140662
HOG0021008	GO:0043231
HOG0010192	GO:0005911,GO:0098609
HOG0010135	GO:0005886,GO:0016020
HOG0021760	GO:0005634,GO:0036297,GO:0045145
HOG0019361	GO:0005743,GO:0006700,GO:0006704,GO:0008203,GO:0034650,GO:0071375
HOG0021000	GO:0003231,GO:0005739,GO:1903779
HOG0012902	GO:0007175,GO:0031901
HOG0020968	GO:0005634
HOG0008089	GO:0005096,GO:0043087
HOG0009581	GO:0004615,GO:0005829,GO:0006013,GO:0006487,GO:0009298
HOG0010896	GO:0004252,GO:0005615,GO:0006508
HOG0019997	GO:0005737,GO:0006457
HOG0020525	GO:0005347,GO:0005778,GO:0006810,GO:0015217,GO:0015228,GO:0015230,GO:0016020,GO:0044610,GO:0051724,GO:0080122
HOG0011139	GO:0001725,GO:0003779,GO:0005912,GO:0007507,GO:0030018,GO:0030036,GO:0031941,GO:0051371,GO:0061061
